FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.647,9019,J.E. Ohlsens Gade,øst for Østerbrogade,4,100,Øvrige tællinger,400,"2,4",500,500,300,"7,3",300,400,500,600,600,,,,,,,600,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/a5tLZhc7z7.pdf,2.4000001,7.30000019,,,,,POINT (12.578246430166619 55.70159271915641)
trafiktaelling.648,9020,Carl Johans Gade,øst for Østerbrogade,3,100,Øvrige tællinger,200,"2,5",200,300,400,"6,3",400,500,400,500,500,,,,,,,500,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/bUqufdofes.pdf,2.5,6.30000019,,,,,POINT (12.578326183502188 55.702093149917765)
trafiktaelling.649,9021,Gustav Adolfs Gade,øst for Østerbrogade,3,100,Øvrige tællinger,500,"1,5",600,700,400,"7,1",400,500,500,600,600,,,,,,,600,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/N8ggju6wL8.pdf,1.5,7.0999999,,,,,POINT (12.578349497704043 55.70258247365169)
trafiktaelling.650,9022,Weidekampsgade,vest for Ørestads Boulevard,3,100,Øvrige tællinger,1200,"3,1",1400,1600,700,,700,900,,,,,,,,,,,20090820,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/G96PoekYdL.pdf,3.0999999,,,,,,POINT (12.585323693899234 55.66597918997105)
trafiktaelling.651,9023,Sankt Jacobs Gade,sydøst for Ribegade,18,100,Øvrige tællinger,500,"3,8",600,700,700,"8,5",700,900,800,900,1000,,,,,,,900,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/61KFa518mV.pdf,3.79999995,8.5,,,,,POINT (12.581043677061933 55.70229072396002)
trafiktaelling.652,9024,Sorøgade,nord for Slagelsegade,4,100,Øvrige tællinger,800,"2,1",900,1000,700,"5,5",700,900,900,1100,1100,,,,,,,1100,20090901,2009,http://kk.sites.itera.dk/apps/kk_trafik/pdf/pFiVhrXXSC.pdf,2.0999999,5.5,,,,,POINT (12.580914510483518 55.69894296547806)
trafiktaelling.653,9028,Alsgade,vest for Slesvigsvej,13,100,Øvrige tællinger,700,3,800,900,200,,200,200,300,400,400,,,,,,,400,20101104,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/sHRWzzEtHh.pdf,3,,,,,,POINT (12.53984820081136 55.66508446981981)
trafiktaelling.654,9030,Center Boulevard,syd for C.F.Møllers Allé,,100,Øvrige tællinger,8300,"3,4",9700,10900,200,,200,200,,,,,,,,,,,20101213,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/TORu2PFr6v.pdf,3.4000001,,,,,,POINT (12.573443534683596 55.634644373895824)
trafiktaelling.655,9031,Kalkbrænderihavnsgade,syd for tunnel ved Ndr. Frihavnsgade,,100,Øvrige tællinger,,,,,2600,"1,3",2700,3200,,,,,,,,,,,20101006,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/jvddIydlae.pdf,,1.29999995,,,,,POINT (12.59211311391587 55.703440172748685)
trafiktaelling.656,9032,Reventlowsgade,syd for vesterbrogade,4,100,Øvrige tællinger,6600,7,7700,8600,2800,,2900,3400,,,,,,,,,,,20111006,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/FxM5C6ljzb.pdf,7,,,,,,POINT (12.562917981308976 55.67337626950716)
trafiktaelling.657,9033,Strandboulevarden,syd for Nordre Frihavnsgade,55,100,Øvrige tællinger,,,,,3600,"2,7",3700,4400,,,,,,,,,,,20101006,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fQCMUQvzvl.pdf,,2.70000005,,,,,POINT (12.588014136616888 55.70305345819816)
trafiktaelling.658,9034,Danneskiold-Samsøes Allé,ud for Eik Skaløe's Plads,,100,Øvrige tællinger,2300,"4,7",2700,3000,600,,600,700,,,,,,,,,,,20101216,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/0mPFBBpN7l.pdf,4.69999981,,,,,,POINT (12.606213330672427 55.68305474482197)
trafiktaelling.659,9035,Flensborggade,syd for Ullerupgade,22,100,Øvrige tællinger,500,"1,7",600,700,800,,800,1000,,,,,,,,,,,20100908,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/M8wTAOWAq3.pdf,1.70000005,,,,,,POINT (12.547212456634929 55.66785648079408)
trafiktaelling.660,9036,Grøndalsvænge Allé,syd for Hillerødgade,2,100,Øvrige tællinger,700,"1,7",800,900,1300,,1300,1600,,,,,,,,,,,20101117,2010,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gNUGpGYQ7F.pdf,1.70000005,,,,,,POINT (12.521536575899729 55.69588910199282)
